,A,B
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
12,0.8322222222222222,0.7011111111111111
13,0.8472222222222222,0.6938888888888889
14,0.8333333333333334,0.7111111111111111
15,0.8461111111111111,0.6983333333333334
16,0.8405555555555555,0.7138888888888889
17,0.8305555555555556,0.715
0,0.5211111111111111,
1,0.715,
2,0.7558333333333334,
3,0.7675,
4,0.7516666666666667,0.5966666666666667
5,0.7555555555555555,0.6244444444444445
6,0.7588888888888888,0.5655555555555556
7,0.7505555555555555,0.59
8,0.7661111111111111,0.5938888888888889
9,0.7666666666666667,0.5927777777777777
10,0.7661111111111111,0.5933333333333334
11,0.7477777777777778,0.6022222222222222
12,0.76,0.5955555555555555
13,0.7644444444444445,0.5866666666666667
14,0.7638888888888888,0.6
15,0.7522222222222222,0.585
16,0.7416666666666667,0.6172222222222222
17,0.7516666666666667,0.595
0,0.5022222222222222,
1,0.5975,
2,0.7383333333333333,
3,0.8025,
4,0.8311111111111111,0.6994444444444444
5,0.8166666666666667,0.7122222222222222
6,0.8222222222222222,0.7144444444444444
7,0.8227777777777778,0.7088888888888889
8,0.8127777777777778,0.7083333333333334
9,0.8194444444444444,0.7038888888888889
10,0.825,0.7238888888888889
11,0.8383333333333334,0.6972222222222222
