,Cosine
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
9,0.14716717619457706
10,0.15871242106768457
11,0.1443352490402936
12,0.15243746003990316
13,0.1285651547067694
0,0.45370613330853743
1,0.4154111241119963
2,0.3732456759315228
3,0.32572585618451183
4,0.2747116761591806
5,0.24088327313516594
6,0.20897236171615685
7,0.19732270152982045
8,0.17394379877293215
9,0.16523680524795697
10,0.14970888532966856
11,0.1521126843767895
12,0.15383211846547182
13,0.13426854334590282
0,0.40876169572150856
1,0.38878439879057036
2,0.3437660325755192
3,0.32410726537414025
4,0.2586384317788527
5,0.21354218629046767
6,0.20713188838029167
7,0.1979010912705634
8,0.1695585861752062
