,A,B
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
11,0.8922222222222222,0.6561111111111111
12,0.91,0.6322222222222222
13,0.9194444444444444,0.6372222222222222
14,0.9105555555555556,0.6383333333333333
15,0.9127777777777778,0.6233333333333333
16,0.9016666666666666,0.6444444444444445
17,0.9027777777777778,0.6483333333333333
0,0.5016666666666667,
1,0.6691666666666667,
2,0.7366666666666667,
3,0.8191666666666667,
4,0.9094444444444445,0.6483333333333333
5,0.9077777777777778,0.6738888888888889
6,0.9027777777777778,0.6727777777777778
7,0.9072222222222223,0.6694444444444444
8,0.9083333333333333,0.6683333333333333
9,0.9038888888888889,0.6683333333333333
10,0.9166666666666666,0.69
11,0.9227777777777778,0.6627777777777778
12,0.9155555555555556,0.6566666666666666
13,0.9272222222222222,0.6461111111111111
14,0.9177777777777778,0.6566666666666666
15,0.9288888888888889,0.6527777777777778
16,0.9255555555555556,0.6722222222222223
17,0.9183333333333333,0.6644444444444444
0,0.51,
1,0.5533333333333333,
2,0.725,
3,0.8,
4,0.8811111111111111,0.625
5,0.8822222222222222,0.6644444444444444
6,0.8872222222222222,0.6122222222222222
7,0.89,0.6333333333333333
8,0.9005555555555556,0.6444444444444445
9,0.9027777777777778,0.635
10,0.9066666666666666,0.6372222222222222
