,Cosine
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
11,0.4153339429635844
12,0.40888536083959054
13,0.38450765200191167
0,0.44120004513421557
1,0.45013537066647324
2,0.45363409288413287
3,0.4813976803563775
4,0.4553471380792309
5,0.4450436724299737
6,0.4369106374644006
7,0.4290953224011738
8,0.402086525316123
9,0.3802338381638559
10,0.3870651822659721
11,0.3808830405930319
12,0.393971086969606
13,0.3430470244277807
0,0.47573356085508534
1,0.4662058843571776
2,0.4741469761716729
3,0.4779670929378408
4,0.4631064397542377
5,0.45917389681643084
6,0.45665409916685934
7,0.43948538466701004
8,0.4186660476926469
9,0.4227060440866215
10,0.4159547113705212
