,Cosine
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
3,0.48148751305035803
4,0.46779018472510236
5,0.46548714652514955
6,0.4640979612361692
7,0.44862637307724146
8,0.42983087518088653
9,0.4388820390219541
10,0.43485906783904105
11,0.4386894303088775
12,0.4348539530484787
13,0.41448212185706057
0,0.4439395830866375
1,0.4536888054442032
2,0.4599639801545107
3,0.4886020095252887
4,0.4656468113993236
5,0.4570814517524003
6,0.4469003129499512
7,0.44239459345861687
8,0.4196857933796371
9,0.4014078872264143
10,0.4119886810853529
11,0.41095844000468923
12,0.42861090363095017
13,0.379686786654687
0,0.4767397666457966
1,0.4677215180843196
2,0.4765172981397154
